,title,title_label
70,카카오네이버 내년부터 간편결제 수수료 공시 총 수수료 공개 ,0
71,네이버카카오 내년 월부터 간편결제수수료 공시한다,0
72, 나선 카카오엔터텐센트 본사 임원 이사회 진입,0
73,엔씨 팬덤 플랫폼 유니버스 카카오엔터에 매각 추진,0
74,카카오 먹통에도 이용자 증가한 콘텐츠모빌리티이유는,0
75,카카오 잡겠다는 플랫폼 규제커머스 업계 초토화시킬 것,0
76,월 카카오 먹통사태 방지방안 나온다,0
77,코스피 외인기관 동반 사자에 상승 마감카카오기아 강세,0
78,카카오 역량 결집한 달구벌자율차 대구 달린다,0
79,카카오메이커스의 상생 프로그램 제버가치 누적 거래액 억 돌파,1
80,카카오메이커스 농축수산물 판로 개척누적 거래액 억 돌파,1
81,카카오모빌리티 년생 사외이사 선임 속도 낼까,0
82,실적 하향 이어지는 네이버카카오신규매출비용절감 필요,1
83,년생 이사 파격 선임카카오모빌리티  속도 붙나,0
84,카카오 디지털 보안 업체 지분 사들인 까닭은,0
85,카카오 내달 일 장애원인 조사결과 발표,0
86,아 카카오 그룹주 동반 하락남몰래 웃는 카뱅,0
87,특징주 카카오그룹 약세국세청 카카오 계열사 특별 세무조사 영,0
88,특징주 카카오 계열사 세무조사 소식에 그룹주 약세,0
89,카카오 먹통 사태 그 후위기 막는 스타트업 안전 기술들 뜬다,0
90,국세청 카카오 계열사 특별 세무조사,0
91,국세청 카카오 계열사 특별 세무조사,0
92,국세청 카카오 계열사 특별 세무조사 착수탈세 여부 검증,0
93,카카오 와 중소사업자 대상 개인정보보호 교육,1
94,카카오 와 중소사업자 대상 개인정보보호 교육 맞손,0
95,카카오 중소사업자 개인정보보호 온라인 교육,1
96,카카오 먹통 방지책 맡은 남궁훈 치부 공개 부끄럽지만 성장 기회될 것,1
97,남궁훈 카카오 규모의 기업이 치부 공개 세계적으로도 드문 일,1
98,카뱅 출신 국회의원이 바라본 카카오 거버넌스는,0
99,금리인상 속도조절 기대감에빅테크 카카오네이버 강세,0
100,빈 살만이 관심 보이니네이버카카오 동반 강세,0
101,빈 살만 왕세자가 카카오 찜해투자검토 소식에 주가 급등,0
102,카카오 내달 먹통 사태 재발방지대책 발표,0
103,카카오 먹통 보상개선안 마련 속도 내지만 갈 길 멀어,0
104,카카오 내달 일 먹통 사태 재발방지대책 공개한다,0
105,카카오 다음달 일 대규모 장애 원인재발방지책 공개한다,0
106,빈살만 투자 기대감 카카오카겜 급등,0
107,카카오 서울카페쇼 온라인 페어 진행브랜드 지원 목적,0
108,땡큐 빈 살만사우디 코인 탑승 카카오 주주들 함박웃음 이종,0
109,특징주 빈 살만 카카오엔터 투자 논의에 모회사 카카오 대 강,0
110,특징주카카오 사우디 국부펀드 투자 보도에 대 강세,0
111,빈 살만이 찍었다카카오 그룹주 일제히 급등,0
112,빈 살만이 콕 찍은 돈 될만한 회사카카오 총사 동반 강세,0
113,특징주빈살만 투자 소식에카카오  등 그룹주 급등,0
114,빈살만 카카오엔터 투자 추진 기대대원미디어  급등,0
115,당근마켓 신임대표로 카카오 출신 황도연 부사장 내정,0
116,당근마켓 카카오 출신 황도연 신임 대표 내정김재현 대표는 로,1
117,코스피 개인 사자에 상승 출발카카오 강세 개장시황,1
118,사우디 국부펀드 카카오엔터에 억 투자 검토,0
119,빈살만의  카카오엔터에 억 투자 검토,0
120,단독 빈살만의 사우디국부펀드 카카오엔터에 투자 추진,0
121,카카오 먹통사태 보상논의 첫발 피해사례만 만건,0
122,먹통 사태 보상회의 첫발카카오 보상까지 먼산,0
123,카카오 홍은택 피해 지원 카카오 혼자 풀기 어렵다,0
124,먹통 사태 보상책 논의 카카오  피해지원 협의체 첫 회의,0
125,카카오 먹통 사태 피해 보상 협의체 첫 회의,0
126,웹툰 거래액 줄은 카카오외형보다 내실,0
127,카카오 품에 안긴 타파스엔터 웹툰  서 선전,0
128,카카오엔터 타파스 뉴욕 애니메이션 행사 참가팬 여명 몰려,0
129,카카오 피해지원 협의체 회의소상공인연합회 관계자 등 참여,0
130,카카오 장애 보상안 마련할 협의체 첫 회의 열어,0
131,키위플러스 카카오키즈폰 등 높은 매출 성장세 지속월 누적 매출 ,1
132,카카오 먹통 판교 데이터센터 찾아 보상규모 손해사정 착수,0
133,카카오 먹통 보상규모 얼마나 될까손해사정 착수,0
134,여보 천 손실 감수하고 팔자 좀 더 버티자 골칫거리 된 카카,0
135,국민주 카카오 떠나는 동학개미,1
136,유안타 주간추천주삼성전자크래프톤카카오,0
137,카카오 소상공인 대상 상생 기획전 연다,1
138,제의 카카오 사태 막는다국민은행 넷퍼넬 도입,0
139,카타르 월드컵 오픈채팅에서 함께 응원하자카카오,1
140,카카오엔터프라이즈 파트너사와 마켓플레이스 프로모션 진행,0
141,카카오 문어발식 확장 촘촘히 막는다 기업결합 신고기준 정비,1
142,카카오 경쟁사 아이돌 비방 의혹공정위 또 조사,0
143,카카오 먹통 방지법 통과에 주목받는 데이터 관련주,1
144,마켓워치베이스매쉬업카카오 웰니스 큐레이션 가,0
145,카카오 먹통 어떻게 보상받나협의체 구성했지만 갈 길 멀다,0
146,카카오스타일 패션바이카카오 입점 스토어 곳 돌파,1
147,카카오스타일 패션바이카카오 입점 스토어 곳 돌파,1
148,빈 살만이 관심 보이니네이버카카오 동반 강세,0
149,빈 살만 왕세자가 카카오 찜해투자검토 소식에 주가 급등,0
150,카카오 내달 먹통 사태 재발방지대책 발표,0
151,카카오 먹통 보상개선안 마련 속도 내지만 갈 길 멀어,0
152,카카오 내달 일 먹통 사태 재발방지대책 공개한다,0
153,카카오 다음달 일 대규모 장애 원인재발방지책 공개한다,0
154,빈살만 투자 기대감 카카오카겜 급등,0
155,카카오 서울카페쇼 온라인 페어 진행브랜드 지원 목적,0
156,땡큐 빈 살만사우디 코인 탑승 카카오 주주들 함박웃음 이종,0
157,특징주 빈 살만 카카오엔터 투자 논의에 모회사 카카오 대 강,0
158,특징주카카오 사우디 국부펀드 투자 보도에 대 강세,0
159,빈 살만이 찍었다카카오 그룹주 일제히 급등,0
160,빈 살만이 콕 찍은 돈 될만한 회사카카오 총사 동반 강세,0
161,특징주빈살만 투자 소식에카카오  등 그룹주 급등,0
162,빈살만 카카오엔터 투자 추진 기대대원미디어  급등,0
163,당근마켓 신임대표로 카카오 출신 황도연 부사장 내정,0
164,당근마켓 카카오 출신 황도연 신임 대표 내정김재현 대표는 로,1
165,코스피 개인 사자에 상승 출발카카오 강세 개장시황,1
166,빈살만 카카오엔터 투자 추진 기대대원미디어  급등,0
167,빈 살만이 콕 찍은 돈 될만한 회사카카오 총사 동반 강세,0
168,특징주빈살만 투자 소식에카카오  등 그룹주 급등,0
169,당근마켓 신임대표로 카카오 출신 황도연 부사장 내정,0
170,당근마켓 카카오 출신 황도연 신임 대표 내정김재현 대표는 로,1
171,코스피 개인 사자에 상승 출발카카오 강세 개장시황,1
172,특징주 빈 살만 카카오엔터 투자 논의에 모회사 카카오 대 강세,0
173,특징주카카오 사우디 국부펀드 투자 보도에 대 강세,0
174,사우디 국부펀드 카카오엔터에 억 투자 검토,0
175,빈살만의  카카오엔터에 억 투자 검토,0
176,단독 빈살만의 사우디국부펀드 카카오엔터에 투자 추진,0
177,카카오 먹통사태 보상논의 첫발 피해사례만 만건,0
178,먹통 사태 보상회의 첫발카카오 보상까지 먼산,0
179,카카오 홍은택 피해 지원 카카오 혼자 풀기 어렵다,0
180,먹통 사태 보상책 논의 카카오  피해지원 협의체 첫 회의,0
181,카카오 먹통 사태 피해 보상 협의체 첫 회의,0
182,웹툰 거래액 줄은 카카오외형보다 내실,0
183,카카오 품에 안긴 타파스엔터 웹툰  서 선전,0
184,카카오엔터 타파스 뉴욕 애니메이션 행사 참가팬 여명 몰려,0
185,카카오 피해지원 협의체 회의소상공인연합회 관계자 등 참여,0
186,카카오 먹통사태 보상논의 첫발 피해사례만 만건,0
187,먹통 사태 보상회의 첫발카카오 보상까지 먼산,0
188,카카오 홍은택 피해 지원 카카오 혼자 풀기 어렵다,0
189,먹통 사태 보상책 논의 카카오  피해지원 협의체 첫 회의,0
190,카카오 먹통 사태 피해 보상 협의체 첫 회의,0
191,웹툰 거래액 줄은 카카오외형보다 내실,0
192,단독 빈살만의 사우디국부펀드 카카오엔터에 투자 추진,0
193,카카오 품에 안긴 타파스엔터 웹툰  서 선전,0
194,카카오엔터 타파스 뉴욕 애니메이션 행사 참가팬 여명 몰려,0
195,카카오 피해지원 협의체 회의소상공인연합회 관계자 등 참여,0
196,카카오 장애 보상안 마련할 협의체 첫 회의 열어,0
197,키위플러스 카카오키즈폰 등 높은 매출 성장세 지속월 누적 매출 ,1
198,카카오 먹통 판교 데이터센터 찾아 보상규모 손해사정 착수,0
199,카카오 먹통 보상규모 얼마나 될까손해사정 착수,0
200,여보 천 손실 감수하고 팔자 좀 더 버티자 골칫거리 된 카카,0
201,국민주 카카오 떠나는 동학개미,1
202,카카오 장애 보상안 마련할 협의체 첫 회의 열어,0
203,키위플러스 카카오키즈폰 등 높은 매출 성장세 지속월 누적 매출 ,1
204,카카오 먹통 판교 데이터센터 찾아 보상규모 손해사정 착수,0
205,카카오 먹통 보상규모 얼마나 될까손해사정 착수,0
206,여보 천 손실 감수하고 팔자 좀 더 버티자 골칫거리 된 카카,0
207,국민주 카카오 떠나는 동학개미,1
208,유안타 주간추천주삼성전자크래프톤카카오,0
209,카카오 소상공인 대상 상생 기획전 연다,1
210,제의 카카오 사태 막는다국민은행 넷퍼넬 도입,0
211,카타르 월드컵 오픈채팅에서 함께 응원하자카카오,1
212,카카오엔터프라이즈 파트너사와 마켓플레이스 프로모션 진행,0
213,카카오엔터프라이즈 파트너사와 마켓플레이스 프로모션 진행,0
214,카카오 문어발식 확장 촘촘히 막는다 기업결합 신고기준 정비,1
215,카카오 경쟁사 아이돌 비방 의혹공정위 또 조사,0
216,카카오 먹통 방지법 통과에 주목받는 데이터 관련주,1
217,마켓워치베이스매쉬업카카오 웰니스 큐레이션 가,0
218,카카오 먹통 어떻게 보상받나협의체 구성했지만 갈 길 멀다,0
219,카카오스타일 패션바이카카오 입점 스토어 곳 돌파,1
220,카카오스타일 패션바이카카오 입점 스토어 곳 돌파,1
221,날뛰는 카카오 브러더스 헷갈리는 시장,0
222,공정위 금산분리 위반콜 몰아주기 등 카카오 사건 연내 결론종합,0
223,공정위 카카오 정조준금산분리 위반 제재 연내 결정,0
224,압박나선 공정위카카오 연내 제재 결정,0
225,한기정 카카오 금산분리 위반 여부 연내 결론,0
226,공정위 금산분리콜 몰아주기 등 카카오 관련 사건 연내 결론,1
227,카카오 협의체 구성해 서비스 장애 보상 논의외부 전문가 참여,1
228,카카오 협의체 구성해 서비스 장애 보상 논의외부 전문가 참여,1
229,공정위 카카오 정조준금산분리 위반 제재 연내 결정,0
230,압박나선 공정위카카오 연내 제재 결정,0
231,한기정 카카오 금산분리 위반 여부 연내 결론,0
232,공정위 금산분리콜 몰아주기 등 카카오 관련 사건 연내 결론,1
233,카카오 먹통사태 피해지원 협의체 구성,0
234,카카오 장애 보상안 마련위한  피해지원 협의체 발족,0
235,카카오 서비스 장애 관련  피해 지원 협의체 구성,0
236,카카오 서비스 먹통 사태 관련  피해지원 협의체 구성,0
237,도 년 걸렸다보상 시작한 카카오 산 넘어 산,0
238,공정위 카카오 김범수의 케이큐브 금산분리 위반 제재 임박,0
239,플랫폼 공정경쟁 제과제로한기정 공정위원장 네이버카카오 독,0
240,공정위원장 카카오 겨냥 독점플랫폼 사회적 책임 소홀,0
241,한기정 독점 플랫폼 사회적 책임 소홀카카오 등 독과점 남용 철퇴,1
242,종목속으로 블랙록 카카오  팔았는데,0
243,우티타다 카카오 독주 못 막았다,0
244,버티던 제왕 이수만 물러났는데카카오  인수 없던일로 무,0
245,카카오 피해 보상 년 걸릴 듯산 넘어 산,0
246,공정위원장 카카오 겨냥 독점플랫폼 사회적 책임 소홀,0
247,플랫폼 공정경쟁 제과제로한기정 공정위원장 네이버카카오 ,0
248,한기정 독점 플랫폼 사회적 책임 소홀카카오 등 독과점 남용 철퇴,1
249,도 년 걸렸다보상 시작한 카카오 산 넘어 산,0
250,종목속으로 블랙록 카카오  팔았는데,0
251,우티타다 카카오 독주 못 막았다,0
252,버티던 제왕 이수만 물러났는데카카오  인수 없던일로 무,0
253,카카오 피해 보상 년 걸릴 듯산 넘어 산,0
254,수억 손실 신불 위기 버텼는데카카오 이젠 오르나 선데이 머니,0
255,유안타 주간추천주삼성전자삼성엔지니어링카카오,0
256,외국인기관 조 쌍끌이 매수카카오 형제 두자릿수 날았다,0
257,외국인기관 조 쌍끌이 매수카카오 형제 두자릿수 날았다,0
258,스타트업 가 카카오 사태 원인조사 맡았다,0
259,카카오 먹통 사태 원인조사 소위원장에 이확영 그렙 ,0
260,카카오 초기 멤버 이확영 그렙 대표 카톡 대란 조사,0
261,단독 이확영 그렙 대표 카카오 서비스 먹통 조사 맡는다,0
262,광주에 카카오모빌리티 고객센터 들어선다,0
263,코스피 마감대 날아올라 선카카오 급등,0
264,코스피 대 올라 선카카오 삼전 대,1
265,나스닥 버프 받고 카카오 삼형제 급등카페는 장중 상한가 이종화의,1
266,코스피 대 상승세 이어져카카오 네이버  쑥쑥,1
267,인플레 정점 기대감에 코스피 안도랠리네이버 카카오  ,1
268,카카오메이커스 카카오프렌즈 기부 배지 제작한다,1
269,특징주카카오그룹 일제히 급등카카오  대 ,0
270,특징주 네이버카카오 나스닥 훈풍 타고 나란히 강세,0
271,인플레 정점 기대감에 코스피 안도랠리네이버 카카오  ,1
272,카카오메이커스 카카오프렌즈 기부 배지 제작한다,1
273,특징주카카오그룹 일제히 급등카카오  대 ,0
274,특징주 네이버카카오 나스닥 훈풍 타고 나란히 강세,0
275,네이버카카오 장 초반 대 급등금리인상 완화 기대감 증시이슈,0
276,특징주 급등 나스닥 훈풍에 네이버카카오 일제히 강세,0
277,특징주 나스닥 훈풍에 네이버카카오도 대 급등,0
278, 훈풍에 코스피 상승 출발카카오 대 개장시황,1
279,특징주 카카오 형제 나란히 웃음꽃카카오페이 ,0
280,시그널 카카오 조 두나무 주식 자회사 이관,1
281,카카오 삼총사 반등했지만매출성장 지켜봐야 경계 눈초리,1
282,빅데이터로 본 재테크 카카오 삼총사 반등했지만 매출성장 지켜봐,1
283,카카오 삼총사 반등했지만매출성장 지켜봐야 경계 눈초리,1
284,빅데이터로 본 재테크 카카오 삼총사 반등했지만 매출성장 지켜봐,1
285,현대차기아 자율주행 카카오 택시 강남 달린다,1
286,부르면 달려간다 현대차 무인 카카오 택시 강남 한복판서 실증실험,0
287,현대차기아 카카오로 자율주행차 부른다,0
288,카카오 카카오인베스트먼트에 조억원 주식 현물출자,1
289,카카오로 강남서 자율주행 택시 부른다,1
290,강남서 자율주행 택시 달린다카카오모빌리티현대차 시범서비스 시작,1
291,두 모빌리티 거인 협력카카오모빌현대차 강남서 자율주행 서비스 선,1
292,카카오모빌리티 자율주행 택시 복잡한 강남 도심 누빈다,1
293,사진 레벨 자율차 로보라이드 카카오로 호출,0
294,자율주행차 로보라이드 카카오로 부른다,0
295,현대차기아 카카오모빌리티와 로보라이드 시범 서비스 확대,0
296,현대차기아 카카오모빌리티와 강남 로보라이드 시범 서비스 확대,0
297,카카오엔터   인수 불발그룹 지배구조개편 제자리,0
298,카카오모빌리티 자회사 솔루션 임시 택시운전 자격 장관 표창,1
299,카카오 먹통 피해 외식업이 가장 컸다,0
300,소공연 카카오 먹통 피해 건 접수실질적 보상안 마련해야,0
301,카카오 소공연 등 여러 단체와 협의체 구성 논의,1
302,카카오 마비사태 피해 소상공인들 손해배상 협의체 구성하라,0
303,카카오 화재피해 외식업 가장 많았다,0
304,카카오 사태 막는다 비수도권 데이터센터에 전기요금 인센티브,0
305,두 모빌리티 거인 협력카카오모빌현대차 강남서 자율주행 서비스 선보,1
306,카카오모빌리티 자율주행 택시 복잡한 강남 도심 누빈다,1
307,현대차기아 카카오모빌리티와 강남 로보라이드 시범 서비스 확대,0
308,현대차기아 카카오모빌리티와 로보라이드 시범 서비스 확대,0
309,카카오엔터   인수 불발그룹 지배구조개편 제자리,0
310,카카오모빌리티 자회사 솔루션 임시 택시운전 자격 장관 표창,1
311,카카오 먹통 피해 외식업이 가장 컸다,0
312,소공연 카카오 먹통 피해 건 접수실질적 보상안 마련해야,0
313,카카오 소공연 등 여러 단체와 협의체 구성 논의,1
314,카카오 마비사태 피해 소상공인들 손해배상 협의체 구성하라,0
315,카카오 화재피해 외식업 가장 많았다,0
316,카카오 사태 막는다 비수도권 데이터센터에 전기요금 인센티브,0
317,카카오 전국 개 전통시장서 우리동네 단골시장 프로젝트,1
318,카카오 오는 일 우리동네 단골시장 프로젝트 시작,0
319,특징주 네이버카카오 이틀 연속 강세증권가 일시적 반등에 무게,0
320,단독 카카오맵 지하철 대란 상황 실시간 반영했는데네이버는 왜,1
321,카카오 전국 개 전통시장서 우리동네 단골시장 프로젝트,1
322,카카오 오는 일 우리동네 단골시장 프로젝트 시작,0
323,카카오 마비사태 피해 소상공인들 손해배상 협의체 구성하라,0
324,카카오 화재피해 외식업 가장 많았다,0
325,특징주 네이버카카오 이틀 연속 강세증권가 일시적 반등에 무게,0
326,단독 카카오맵 지하철 대란 상황 실시간 반영했는데네이버는 왜,1
327,카카오 사건으로 본위기관리 ,0
328,코스피 선 터치다운네이버카카오 모처럼 불상승,1
329,그룹 석달새 계열사 개 늘려카카오 개사 흡수매각,0
330, 계열사 개 증가카카오는 개 줄여,0
331,카카오 먹통사태   데이터센터 이번엔 감전사고 명 부상,0
332,카카오모빌리티 신입경력 개발자 공채두 자릿수 채용 목표,0
333,카카오모빌리티 신입경력 개발자 공채일까지 접수,0
334,카카오모빌리티 첫 단독 공채두 자릿수 뽑는다,1
335,교통약자 지원카카오맵 서울 지하철역 승강장 간격높이 정보 제공,1
336, 열차승강장 거리 넓어요카카오맵 교통약자 정보 강화,1
337,카카오맵 서울 지하철역 승강장 간격높이 정보 제공,1
338, 계열사 개 증가카카오는 개 줄여,0
339,카카오모빌리티 신입경력 개발자 공채두 자릿수 채용 목표,0
340,카카오모빌리티 신입경력 개발자 공채일까지 접수,0
341,카카오모빌리티 첫 단독 공채두 자릿수 뽑는다,1
342,교통약자 지원카카오맵 서울 지하철역 승강장 간격높이 정보 제공,1
343, 열차승강장 거리 넓어요카카오맵 교통약자 정보 강화,1
344,카카오맵 서울 지하철역 승강장 간격높이 정보 제공,1
345,비슷한 성적표인데 뭐가 달랐나네이버 웃고 카카오 울고,0
346,카카오 인수 안개속으로피해 보상 규모가 관건,0
347,방통위원장 카카오와 서비스별 보상기준 적정성 협의중,0
348,카카오 먹통 사태 피해 접수 마감사례 면밀히 검토 분류 중,0
349,카카오 먹통 피해사례 접수 종료원점부터 개선하겠다,0
350,물류 디지털 전환네이버카카오 격돌,0
351,카카오 이어 네이버도매출은 늘어도 영업익은 분기 만에 역성장,0
352,코스피 주간 외국인 순매도 위 카카오,0
353,카카오 먹통 사태 피해 접수 마감사례 면밀히 검토 분류 중,0
354,카카오 먹통 피해사례 접수 종료원점부터 개선하겠다,0
355,물류 디지털 전환네이버카카오 격돌,0
356,카카오 이어 네이버도매출은 늘어도 영업익은 분기 만에 역성장,0
357,코스피 주간 외국인 순매도 위 카카오,0
358,카카오 먹통 화재때 이 제품 썼다면초미세캡슐소화기 만드는 지에프아,1
359,카카오에겐 더 추울 겨울목표가 줄하향하는 증권사들,0
360,카카오 픽코마 월  앱마켓 매출 위 올라,0
361,카카오 만화앱 픽코마 월 일본 앱마켓 매출 위,0
362,카카오픽코마 월  앱마켓 통합 매출 위글로벌 위,0
363,카카오 실적 부진 파월 매파 발언에 불안한 네이버목표가 줄줄이 ,1
364,시총순위고평가 논란 엎친 데 먹통사태 덮쳐대표 성장주 ,0
365,클릭 종목 카카오 경기 침체에 성장 둔화 불가피,0
366,카카오 매크로 영향게임 매출 하락데이터센터 화재외형 성장 우,0
367,카카오 상승여력 있지만단기 투자심리 부정적신한,1
368,카카오 실적 부진 파월 매파 발언에 불안한 네이버목표가 줄줄이 ,1
369,시총순위고평가 논란 엎친 데 먹통사태 덮쳐대표 성장주 ,0
370,클릭 종목 카카오 경기 침체에 성장 둔화 불가피,0
371,카카오 매크로 영향게임 매출 하락데이터센터 화재외형 성장 우,0
372,카카오 상승여력 있지만단기 투자심리 부정적신한,1
373,증권가 어닝 쇼크 카카오 목표가 줄하향,0
374,카카오 시장 기대 못 미치는 분기 실적 발표장 초반 약세,0
375,미래에셋 카카오 데이터센터 화재로 단기 수익성 악화 불가피,0
376,카카오 대형사업자 확보 목표투자의견 매수다올,0
377,카카오 카카오게임즈 부진으로 분기 실적 컨센서스 하회하나,0
378,실적 부진 카카오 떨고있는 네이버개미는 줍줍,0
379,카카오 형제들 주가 또 털썩,1
380,카카오 형제 다시 내리막길겹악재에 털썩,1
381,실적 부진 카카오 떨고있는 네이버개미는 줍줍,0
382,카카오 형제들 주가 또 털썩,1
383,카카오 형제 다시 내리막길겹악재에 털썩,1
384,카카오 수익성 빨간불피해보상주주가치 제고에 집중,0
385,수익성 악화 카카오 피해보상 주주가치 최우선 챙기겠다,0
386,카카오 데이터센터 화재 여파는 분기 실적반영,1
387,카카오 심야호출료 오늘 밤 시부터 인상최대 원,1
388,카카오다음 이메일 한때 송수신장애이용자 불만,1
389,먹통 보상 남았는데카카오 영업이익 뚝,0
390,카카오 분기 실적 부진에 주가 ,1
391,카카오 분기 영업이익 억원작년동기비  감소,0
392,오늘부터 카카오택시 심야 탄력 호출료 적용최대 원,0
393,카카오도 탄력호출료 도입심야 시간 최대 원,0
394,성장엔진 먹통 카카오자회사 상장 재검토,1
395,카카오 사상 최대 매출에도 못 웃는 이유윈터 이즈 커밍,0
396,개 분기만에 역성장고속성장 멈춘 카카오의 해법은종합,0
397,카카오 분기 영업익 억원전년 ,0
398,카카오  매출은 사상 최대치영업익은  기대 밑돌아,0
399,카카오 분기 영업익 억원전년   상보,0
400,카카오 분기 영업익 억원전년 상보,0
401,공시 눈에 띄네 카카오  영업익 억원전년 ,0
402,카카오 데이터센터 화재 여파는 분기 실적반영,1
403,카카오 사상 최대 매출에도 못 웃는 이유윈터 이즈 커밍,0
404,개 분기만에 역성장고속성장 멈춘 카카오의 해법은종합,0
405,카카오 분기 영업익 억원전년 ,0
406,카카오  매출은 사상 최대치영업익은  기대 밑돌아,0
407,카카오 분기 영업익 억원전년   상보,0
408,카카오 분기 영업익 억원전년 상보,0
409,공시 눈에 띄네 카카오  영업익 억원전년 ,0
410,내년 금리  가능성 시사한 파월 네이버카카오 등 기술주와 코스닥,1
411,공동체 상장이슈 카카오 지배구조 관점서 재검토카카오 컨콜,1
412,컨콜카카오 배재현 계열사 상장 재검토투자자 우려 인지,0
413,뉴욕증시 급락에 카카오 형제 줄줄이 약세,1
414,광고시장 둔화 마케팅 예산 활용한 톡채널 키울 것카카오 컨콜,0
415,영상카카오 분기 영업이익 억원전년비 ,0
416,카카오 컨콜 모빌리티 주차사업전년동기 ,0
